Time UTC,Conductivity (S/m),Density (kg/m3),Practical Salinity (psu),Pressure (decibar),Temperature (C),Turbidity (NTU),Chlorophyll (ug/l),Oxygen Concentration Corrected (ml/l)
2016-08-01T15,3.344621855,1022.343447,29.30699038,7.048533741,11.20544849,3.586612052,1.047688142,3.946094012
2016-08-01T16,3.347129861,1022.060077,29.03076844,6.566725,11.58882139,3.678602778,1.055819444,4.258774946
2016-08-01T17,3.349057,1021.707135,28.68373198,6.338894444,12.05868611,3.615847222,1.417583333,4.597401945
2016-08-01T18,3.328492169,1021.884306,28.81637475,6.285326298,11.6329564,4.399683421,1.005144404,4.221614042
2016-08-01T19,3.303850944,1022.10551,28.98473994,6.2778,11.11298444,5.076244444,0.680513889,3.827136101
2016-08-01T20,3.348071917,1022.525401,29.49837971,6.935066667,11.00771472,4.441802778,0.669965278,3.749754544
2016-08-01T21,3.355762066,1022.622299,29.6082595,7.834184949,10.96403083,3.757992224,0.705762288,3.717239438
2016-08-01T22,3.366809611,1022.691148,29.69718905,8.644161111,10.98724306,3.386288889,0.657847222,3.737113293
2016-08-01T23,3.370872778,1022.709982,29.72171946,9.286177778,11.00571167,3.270255556,0.65275,3.747395154
2016-08-02T00,3.367831102,1022.672261,29.67556666,9.635523466,11.02588364,3.280344349,0.646625937,3.741507317
2016-08-02T01,3.368823917,1022.645273,29.6505468,9.596877778,11.06896528,3.483033333,0.655319444,3.802257495
2016-08-02T02,3.371904611,1022.569637,29.58186484,9.355986111,11.19226222,4.042286111,0.861513889,3.905152448
2016-08-02T03,3.370884671,1022.428993,29.43943102,9.033324077,11.35782533,3.857608998,1.00880311,4.054077397
2016-08-02T04,3.368350472,1022.631287,29.63921519,8.795511111,11.07784111,3.466936111,0.639743056,3.835654101
2016-08-02T05,3.370047222,1022.697868,29.71040477,8.718819444,11.0100125,3.460369444,0.624972222,3.746583001
2016-08-02T06,3.361836656,1022.77654,29.77310858,8.750697029,10.83368898,3.597195224,0.588433768,3.631212444
2016-08-02T07,3.342438611,1022.858178,29.81567838,8.837302778,10.546865,3.945602778,0.447791667,3.441491935
2016-08-02T08,3.327967222,1022.656586,29.58033772,8.921408333,10.66051111,3.901405556,0.479465278,3.514514904
2016-08-02T09,3.32772055,1022.568759,29.48921135,9.21732852,10.77010497,3.980091641,0.471285754,3.596586949
2016-08-02T10,3.330034889,1022.585852,29.5095389,9.603691667,10.77292583,4.039244444,0.495944444,3.605433813
2016-08-02T11,3.332644528,1022.648874,29.57817091,9.759469444,10.71952889,4.441102778,0.632875,3.564639409
2016-08-02T12,3.3288589,1022.622295,29.54438124,9.541074701,10.71539045,3.949583449,0.586941127,3.538695517
2016-08-02T13,3.339060361,1022.662349,29.60867897,9.008141667,10.76020833,4.181766667,0.635354167,3.55231569
2016-08-02T14,3.340473972,1022.135555,29.08434196,8.318258333,11.439025,4.740272222,1.398125,4.078163604
2016-08-02T15,3.360454346,1021.998856,28.99299759,7.582060539,11.79813052,3.93869203,1.603776729,4.354752675
2016-08-02T16,3.358229417,1022.636486,29.6321833,6.925916667,10.96516417,3.367947222,0.983534722,3.822447888
2016-08-02T17,3.363827139,1022.576852,29.58543142,6.507191667,11.09099167,3.425347222,0.998013889,3.858803379
2016-08-02T18,3.370915051,1022.341361,29.36425041,6.342118856,11.45494113,3.577334074,1.196133019,4.065661954
2016-08-02T19,3.293994083,1021.80972,28.66662169,6.286113889,11.39655833,5.283516667,1.004027778,4.091191371
2016-08-02T20,3.288730248,1021.977268,28.82314026,6.400651672,11.13258939,5.11615917,0.834457901,3.899131813
2016-08-02T21,3.348371702,1022.531844,29.50412307,7.23269925,11.0040511,3.905903916,0.711670369,3.798591974
2016-08-02T22,3.359488528,1022.642403,29.63492961,8.142577778,10.97597778,3.458402778,0.726305556,3.781630862
2016-08-02T23,3.367629556,1022.697447,29.70370662,8.978744444,10.98892972,3.199136111,0.673527778,3.783321822
2016-08-03T11,3.335779222,1022.699303,29.63690375,9.541619444,10.6851725,3.161747222,0.557652778,3.54367796
2016-08-03T12,3.33716276,1022.709576,29.64961679,9.664818106,10.68622549,3.224107192,0.706685643,3.517709721
2016-08-04T18,3.382400028,1022.339715,29.38465102,6.805183333,11.56780556,2.636347222,1.03275,4.344788031
2016-08-04T19,3.396616856,1022.24675,29.32338411,6.591385726,11.81850403,2.824184949,1.586101083,4.41101868
2016-08-04T20,3.383463278,1022.162045,29.21061155,6.570477778,11.80133111,3.255555556,1.444013889,4.407612424
2016-08-04T21,3.336864583,1022.083929,29.03217895,6.508225,11.4586325,3.52725,1.269354167,4.139982664
2016-08-04T22,3.359178367,1022.356586,29.35080841,7.090877534,11.32772063,3.718650375,1.282123021,4.037089104
2016-08-04T23,3.368533583,1022.50789,29.51885372,7.969972222,11.23031722,3.635161111,1.191895833,3.953896889
2016-08-05T00,3.376832167,1022.615474,29.64090794,8.81125,11.17826139,3.034613889,1.141111111,3.91910402
2016-08-05T01,3.378501972,1022.691208,29.71798487,9.433673979,11.10243127,2.966798112,1.02287559,3.851181789
2016-08-05T02,3.381359083,1022.640664,29.67169187,9.711072222,11.19436917,2.917294444,1.284340278,3.90553557
2016-08-05T03,3.380462583,1022.565403,29.59437387,9.607630556,11.2797575,3.196852778,1.311513889,3.98149458
2016-08-05T04,3.380899108,1022.414734,29.44556177,9.31397945,11.49191169,4.356401,1.313461538,4.097004445
2016-08-05T06,3.411704278,1021.764406,28.86891281,8.558713889,12.58669028,1.690216667,2.3264375,4.783108266
2016-08-05T07,3.416659956,1021.721157,28.83829665,8.362163288,12.68748903,1.450019439,2.804325187,4.812974757
2016-08-05T08,3.413830944,1021.781813,28.89204875,8.285413889,12.58265722,1.447069444,2.756131944,4.77687042
2016-08-05T09,3.360304344,1022.213143,29.20411847,8.284087998,11.52735366,2.435416319,1.619597605,4.074672254
2016-08-05T10,3.300527065,1021.928792,28.79076798,8.263780692,11.31827707,1.784257812,1.3332101,3.92583943
2016-08-05T11,3.342283444,1022.415217,29.36727269,8.577736111,11.10038139,1.653697222,0.884298611,3.809994941
2016-08-05T12,3.357098054,1022.562371,29.54491901,9.012748749,11.05840078,1.433907727,0.959685937,3.783957957
2016-08-05T13,3.360999694,1022.623468,29.6135892,9.282247847,11.02020506,1.403667685,1.115809947,3.766382421
2016-08-05T14,3.362395522,1022.576218,29.56870223,9.299296245,11.09302782,1.343082058,1.247009736,3.778131858
2016-08-05T15,3.361684639,1022.526247,29.51858002,8.926230834,11.14722275,1.728921104,1.192702816,3.80582715
2016-08-05T16,3.386324132,1021.704827,28.75494192,8.380974729,12.42539489,2.061110803,1.969515412,4.69798599
2016-08-05T17,3.399092111,1021.344762,28.43247948,7.762038889,13.00810194,1.681713889,2.61275,5.219977354
2016-08-05T18,3.418884654,1021.336713,28.47216863,7.228313889,13.19982639,1.491166667,3.099597222,5.507117205
2016-08-05T19,3.433380394,1021.318933,28.48959566,6.892454874,13.35544154,1.546684254,4.942488198,5.676072619
2016-08-05T20,3.434764778,1021.467382,28.63768422,6.804605556,13.17492972,1.583116667,4.486722222,5.449944554
2016-08-05T21,3.373569028,1021.457555,28.49006869,6.812216667,12.61555167,2.762822222,3.803291667,5.053344153
2016-08-05T22,3.359476395,1021.806952,28.80335465,6.87523188,12.03206359,2.504371008,3.368411552,4.599226479
2016-08-05T23,3.380659588,1022.301726,29.33922903,7.601981631,11.60377902,2.094901197,2.286494573,4.221671829
2016-08-06T00,3.383466444,1022.426289,29.46632733,8.416296296,11.47709914,1.834249513,2.426183514,4.138940682
2016-08-06T01,3.385445828,1022.509104,29.550429,9.133831984,11.39524058,1.486025677,2.010584706,4.072250965
2016-08-06T02,3.384940847,1022.567295,29.60575621,9.597465657,11.31972414,1.478270255,1.916890945,3.989118712
2016-08-06T03,3.38949833,1022.431267,29.47833554,9.689204008,11.53463345,1.48205956,2.146437517,4.133465132
2016-08-06T04,3.388205424,1022.502353,29.54791547,9.487566741,11.43180367,1.94368743,1.471746385,4.037288923
2016-08-06T05,3.40017352,1021.985031,29.06180582,9.095207002,12.20218616,2.574145596,1.906210058,4.456363001
2016-08-06T06,3.407452722,1021.871472,28.96537922,8.686230556,12.41106583,1.655908333,2.996368056,4.711924305
2016-08-06T07,3.392015751,1022.387204,29.4456845,8.359183161,11.60690131,1.436646222,2.099930304,4.112045635
2016-08-06T08,3.382806344,1022.582905,29.62358819,8.204446618,11.27258776,1.347487423,1.863170766,3.845456658
2016-08-06T09,3.374498914,1022.692827,29.71745136,8.146261136,11.05570963,1.39826559,1.803027125,3.733976316
2016-08-06T10,3.347044148,1022.524419,29.48973018,8.123792049,11.00562914,1.802313039,1.262677231,3.697060418
2016-08-06T11,3.336436784,1022.413425,29.35513479,8.156388425,11.0443542,1.91501113,1.126015582,3.723306179
2016-08-06T12,3.327177444,1022.296603,29.21594534,8.543099415,11.10571122,1.600988583,1.0381022,3.78621561
2016-08-06T13,3.34517047,1022.471538,29.42858601,8.919585305,11.05857696,1.406161982,1.250055664,3.774182497
2016-08-06T14,3.352518116,1022.540406,29.51241346,9.16474979,11.04315907,1.349091417,1.652641879,3.755135967
2016-08-06T15,3.349657899,1022.528336,29.49440285,9.126416829,11.03084843,1.382468654,1.381742825,3.708173055
2016-08-06T16,3.356740434,1022.457221,29.44003351,8.753481646,11.18650528,1.754885984,1.644313126,3.806576367
2016-08-06T17,3.384069167,1022.006705,29.04952095,8.238644444,12.01493139,1.683419444,3.508423611,4.503351598
2016-08-06T18,3.375001722,1022.016656,29.04176447,7.707675,11.91380111,1.596802778,2.589902778,4.447147044
