Time UTC, Oxygen Concentration Corrected (ml/l), Oxygen Concentration Corrected QC Flag, Oxygen Concentration Corrected Count, Corrected Heading (mobile position/attitude sensor) (deg), Corrected Heading (mobile position/attitude sensor) QC Flag, Corrected Heading (mobile position/attitude sensor) Count, True Heading (mobile position/attitude sensor) (deg), True Heading (mobile position/attitude sensor) QC Flag, True Heading (mobile position/attitude sensor) Count
2012-10-26T01,3.501,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T02,3.49575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T03,3.50225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T04,3.51475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T05,3.5315,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T06,3.51525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T07,3.529,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T08,3.54625,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T09,3.56175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T10,3.5605,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T11,3.529,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T12,3.5445,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T13,3.544,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T14,3.526,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T15,3.5275,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T16,3.53175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T17,3.52025,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T18,3.512,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T19,3.52475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T20,3.54725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T21,3.49425,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T22,3.49125,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T23,3.4735,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T00,3.4705,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T01,3.48,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T02,3.481,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T03,3.48175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T04,3.50725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T05,3.522,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T06,3.539,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T07,3.524,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T08,3.525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T09,3.54275,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T10,3.547,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T11,3.52275,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T12,3.513,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T13,3.506,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T14,3.51125,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T15,3.50625,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T16,3.499,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T17,3.49875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T18,3.4785,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T19,3.48075,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T20,3.4845,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T21,3.4985,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T22,3.4975,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-27T23,3.4825,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T00,3.464,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T01,3.4635,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T02,3.4675,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T03,3.4725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T04,3.5025,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T05,3.576,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T06,3.53275,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T07,3.57325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T08,3.55375,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T09,3.55225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T10,3.57375,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T11,3.5375,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T12,3.5225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T13,3.487,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T14,3.4615,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T15,3.46025,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T16,3.472,7.0,4.0,,9.0,0.0,,9.0,0.0
